sentence,course,program
"Design of a flight vehicle, including its structures and systems.",AERO-444,Aerospace Engineering
Preparation of necessary drawings and a report.,AERO-444,Aerospace Engineering
Basic equations of elasticity with applications to typical aerospace structures.,AERO-431,Aerospace Engineering
Concepts studied include analysis of aircraft and aerospace structures; airworthiness and airframe loads; structural constraints; elementary aeroelasticity; structural instability; introduction to modern fatigue; fracture mechanics; and composite structures analysis.,AERO-431,Aerospace Engineering
"Relates systems engineering to complexity in the design and development of modern large engineered systems, with emphasis on aerospace applications.",AERO-548,Aerospace Engineering
"Covers methods currently available to address complexity, including systems thinking, model based systems engineering and life cycle governance.",AERO-548,Aerospace Engineering
"Wind tunnel testing of basic aerodynamic properties of airfoils, finite wings, aircraft or spacecraft models, and vehicle flight performance.",AERO-307,Aerospace Engineering
Emphasis on both static and dynamic responses of aircraft.,AERO-307,Aerospace Engineering
"Various measurement techniques, data reduction schemes, and analysis methods.",AERO-307,Aerospace Engineering
Application of advanced engineering tools to the design of space vehicles.,AERO-566,Aerospace Engineering
System architecture and mission design.,AERO-566,Aerospace Engineering
Concept of operations.,AERO-566,Aerospace Engineering
Requirements development and flow down.,AERO-566,Aerospace Engineering
System and subsystems trade studies and preliminary design.,AERO-566,Aerospace Engineering
Structural dynamics and aeroelasticity of flight vehicles.,AERO-534,Aerospace Engineering
Vibration and forced response of continuous structures.,AERO-534,Aerospace Engineering
Introduction to unsteady aerodynamic analysis methods.,AERO-534,Aerospace Engineering
Normal-Mode Method and Modal Analysis.,AERO-534,Aerospace Engineering
Framed structures and rigid body structures.,AERO-534,Aerospace Engineering
Airworthiness and aeroelasticity.,AERO-534,Aerospace Engineering
Random Vibrations.,AERO-534,Aerospace Engineering
Space vehicle integration requirements and procedures.,AERO-561,Aerospace Engineering
Clean room requirements and operations.,AERO-561,Aerospace Engineering
Quality control and inspection.,AERO-561,Aerospace Engineering
Qualification and acceptance testing requirements.,AERO-561,Aerospace Engineering
Test equipment.,AERO-561,Aerospace Engineering
Vibration and shock testing.,AERO-561,Aerospace Engineering
Space environment and thermal-vac testing.,AERO-561,Aerospace Engineering
Development of test procedures.,AERO-561,Aerospace Engineering
Basic launch vehicle/missile types.,AERO-567,Aerospace Engineering
Launch vehicle subsystems and their interactions.,AERO-567,Aerospace Engineering
Vehicle requirements development and flow down.,AERO-567,Aerospace Engineering
Payload accommodations.,AERO-567,Aerospace Engineering
System and subsystems trade studies and preliminary design.,AERO-567,Aerospace Engineering
"Project-based study of fundamental systems engineering concepts including sub-system interface requirements, verification and validation, modeling/analysis/design, and implementation of complex aerospace systems.",AERO-220,Aerospace Engineering
Systems engineering principles and methods.,AERO-549,Aerospace Engineering
"Program planning, scheduling and budgeting, risk management, and design strategies to meet system/mission requirements.",AERO-549,Aerospace Engineering
Quality function development and quality control concepts.,AERO-549,Aerospace Engineering
"Proposal development, evaluation, and selection.",AERO-549,Aerospace Engineering
Classification of partial differential equations.,AERO-525,Aerospace Engineering
"Numerical methods applicable to the solution of elliptic, parabolic, and hyperbolic partial differential equations.",AERO-525,Aerospace Engineering
Consideration of accuracy and stability of numerical methods.,AERO-525,Aerospace Engineering
"Application to the fundamental equations of fluid dynamics, grid generation, turbulence modeling.",AERO-525,Aerospace Engineering
"Design of a flight vehicle, including its structures and systems.",AERO-445,Aerospace Engineering
Preparation of necessary drawings and a report.,AERO-445,Aerospace Engineering
Application of Computational Fluid Dynamics to study a range of problems relating to applications in aerospace and automotive engineering.,AERO-406,Aerospace Engineering
"Grid generation, sources of errors in CFD studies, boundary conditions, 2D and 3D external flows, and turbulence modeling.",AERO-406,Aerospace Engineering
Engineering development and analysis of unmanned aircraft systems (UAS) as airborne tools for societal benefit.,AERO-513,Aerospace Engineering
"Use of UAS for military, public service, and commercial purposes.",AERO-513,Aerospace Engineering
Characterization of missions and applications.,AERO-513,Aerospace Engineering
Development of system requirements and concepts of operation.,AERO-513,Aerospace Engineering
Evaluation of relative merits and limitations of UAS.,AERO-513,Aerospace Engineering
"Aerothermodynamics of propulsion systems, power plant selection and design, on-off design performance, component characterization, component design, component matching, optimization, and introduction to power plant and airframe integration systems for aircraft.",AERO-541,Aerospace Engineering
"Review of gas dynamics, shock-wave and boundary-layer interaction, aerodynamic design.",AERO-405,Aerospace Engineering
2-dimensional supersonic flows around thin airfoil; finite wing in supersonic flow.,AERO-405,Aerospace Engineering
"Local surface inclination methods for high-speed flight, boundary-layer and aerodynamic heating, viscous interactions.",AERO-405,Aerospace Engineering
Requirements and considerations for human spaceflight design and operations.,AERO-455,Aerospace Engineering
Effects of the spaceflight environment on the human body and countermeasures to mitigate those effects.,AERO-455,Aerospace Engineering
Designing a spacecraft for the human payload focusing on space operations.,AERO-455,Aerospace Engineering
Launch operations and vehicle integration with launch vehicle.,AERO-562,Aerospace Engineering
In-orbit operations and maneuvers.,AERO-562,Aerospace Engineering
Spacecraft tracking.,AERO-562,Aerospace Engineering
Telemetry and command.,AERO-562,Aerospace Engineering
Ground systems.,AERO-562,Aerospace Engineering
Failure detection and identification.,AERO-562,Aerospace Engineering
Emergency operations.,AERO-562,Aerospace Engineering
Effects of the space environment on a spacecraft and design considerations.,AERO-355,Aerospace Engineering
"Basics of thermodynamics, energy, systems and control volume analysis.",AERO-299,Aerospace Engineering
